"No.","Time","Source","Destination","Protocol","Length","Info"
"792","7.943025","8.8.8.8","192.168.38.104","DNS","166","Standard query response 0x76aa No such name A lDqoR16q.reddshrimpandherring.com SOA a.gtld-servers.net"
"798","8.049550","8.8.8.8","192.168.38.104","DNS","166","Standard query response 0xc847 No such name A 1Th0dQuT.reddshrimpandherring.com SOA a.gtld-servers.net"
"804","8.142293","8.8.8.8","192.168.38.104","DNS","166","Standard query response 0x4249 No such name A ysnuBebx.reddshrimpandherring.com SOA a.gtld-servers.net"
"828","8.180638","8.8.8.8","192.168.38.104","DNS","166","Standard query response 0x6a22 No such name A OKm0XI7q.reddshrimpandherring.com SOA a.gtld-servers.net"
"972","8.226558","8.8.8.8","192.168.38.104","DNS","166","Standard query response 0xda95 No such name A j/RVIHi2.reddshrimpandherring.com SOA a.gtld-servers.net"
"1095","8.260649","8.8.8.8","192.168.38.104","DNS","166","Standard query response 0x483a No such name A d+KVXhMV.reddshrimpandherring.com SOA a.gtld-servers.net"
"1311","8.326523","8.8.8.8","192.168.38.104","DNS","166","Standard query response 0x2a2a No such name A ky0+eTqU.reddshrimpandherring.com SOA a.gtld-servers.net"
"1440","8.362689","8.8.8.8","192.168.38.104","DNS","166","Standard query response 0x35a3 No such name A poybMrsl.reddshrimpandherring.com SOA a.gtld-servers.net"
"1524","8.429794","8.8.8.8","192.168.38.104","DNS","166","Standard query response 0x5a3d No such name A jK2eAyOi.reddshrimpandherring.com SOA a.gtld-servers.net"
"1530","8.473406","8.8.8.8","192.168.38.104","DNS","166","Standard query response 0x0c17 No such name A 48b4iU01.reddshrimpandherring.com SOA a.gtld-servers.net"
"1536","8.509538","8.8.8.8","192.168.38.104","DNS","166","Standard query response 0x6d73 No such name A FvJnCBT8.reddshrimpandherring.com SOA a.gtld-servers.net"
"1546","8.577711","8.8.8.8","192.168.38.104","DNS","166","Standard query response 0xcbc7 No such name A km29WP3g.reddshrimpandherring.com SOA a.gtld-servers.net"
"1557","8.622628","8.8.8.8","192.168.38.104","DNS","166","Standard query response 0x6a81 No such name A /3Dz6rCU.reddshrimpandherring.com SOA a.gtld-servers.net"
"1564","8.718587","8.8.8.8","192.168.38.104","DNS","166","Standard query response 0x4484 No such name A di8sCDPv.reddshrimpandherring.com SOA a.gtld-servers.net"
"1570","8.812615","8.8.8.8","192.168.38.104","DNS","166","Standard query response 0x06f8 No such name A b38U91ep.reddshrimpandherring.com SOA a.gtld-servers.net"
"1576","8.879722","8.8.8.8","192.168.38.104","DNS","166","Standard query response 0xe44d No such name A 2DA0w7Jt.reddshrimpandherring.com SOA a.gtld-servers.net"
"1582","8.951344","8.8.8.8","192.168.38.104","DNS","166","Standard query response 0x5eb2 No such name A FZYl6dCA.reddshrimpandherring.com SOA a.gtld-servers.net"
"1588","9.018320","8.8.8.8","192.168.38.104","DNS","166","Standard query response 0xb094 No such name A BoORWyDu.reddshrimpandherring.com SOA a.gtld-servers.net"
"1594","9.055728","8.8.8.8","192.168.38.104","DNS","166","Standard query response 0x03f1 No such name A MVsbj1/d.reddshrimpandherring.com SOA a.gtld-servers.net"
"1600","9.147148","8.8.8.8","192.168.38.104","DNS","166","Standard query response 0xd2d4 No such name A UWrgyXWr.reddshrimpandherring.com SOA a.gtld-servers.net"
"1606","9.199964","8.8.8.8","192.168.38.104","DNS","166","Standard query response 0xccfe No such name A 9NzCwWxd.reddshrimpandherring.com SOA a.gtld-servers.net"
"1614","9.236640","8.8.8.8","192.168.38.104","DNS","166","Standard query response 0x233e No such name A m/TqO+IW.reddshrimpandherring.com SOA a.gtld-servers.net"
"1627","9.306399","8.8.8.8","192.168.38.104","DNS","166","Standard query response 0x7487 No such name A o2ZJtOyF.reddshrimpandherring.com SOA a.gtld-servers.net"
"1634","9.388061","18.217.1.57","192.168.38.104","DNS","166","Standard query response 0xdf26 No such name A cGljb0NU.reddshrimpandherring.com SOA a.gtld-servers.net"
"1640","9.506471","8.8.8.8","192.168.38.104","DNS","166","Standard query response 0x8872 No such name A um0kpvjf.reddshrimpandherring.com SOA a.gtld-servers.net"
"1646","9.540788","8.8.8.8","192.168.38.104","DNS","166","Standard query response 0xa098 No such name A Sox37h19.reddshrimpandherring.com SOA a.gtld-servers.net"
